ROW_ID,ORDER_ID,ORDER_DATE,ORDER_PRIORITY,ORDER_QUANTITY,SALES,DISCOUNT,SHIP_MODE,PROFIT,UNIT_PRICE,SHIPPING_COST,CUSTOMER_ID,PRODUCT_ID,PRODUCT_CONTAINER,PRODUCT_BASE_MARGIN
1,3,13/10/2010,LOW,6,261.54,0.04,REGULAR AIR,-213.25,38.94,35,10096,1001,LARGE BOX,0.8
7,35,22/10/2011,NOT SPECIFIED,30,288.56,0.03,REGULAR AIR,60.72,9.11,2.25,8956,1554,WRAP BAG,0.52
8,35,22/10/2011,NOT SPECIFIED,14,1892.848,0.01,REGULAR AIR,48.987,155.99,8.99,8956,1555,SMALL BOX,0.58
10,65,17/03/2011,CRITICAL,32,3812.73,0.02,REGULAR AIR,1470.3,115.79,1.99,6966,1800,SMALL PACK,0.49
18,129,18/11/2012,LOW,4,32.72,0.09,REGULAR AIR,-22.59,6.48,8.19,1181,1078,SMALL BOX,0.37
37,229,28/12/2010,CRITICAL,43,586.11,0.11,REGULAR AIR,98.44,12.64,4.98,3965,1775,SMALL PACK,0.48
39,230,26/10/2010,CRITICAL,47,2029.75,0.06,REGULAR AIR,320.37,43.98,8.99,3527,1673,SMALL PACK,0.58
40,230,26/10/2010,CRITICAL,11,1118.396,0.06,REGULAR AIR,-212.333,125.99,8.08,3527,1163,SMALL BOX,0.57
45,261,28/06/2010,MEDIUM,47,5677.609,0.04,REGULAR AIR,1680.786,140.99,4.2,3832,1626,SMALL BOX,0.59
49,293,01/10/2012,HIGH,49,10123.02,0.07,DELIVERY TRUCK,457.81,208.16,68.02,9428,1002,JUMBO DRUM,0.58
50,293,01/10/2012,HIGH,27,244.57,0.01,REGULAR AIR,46.7075,8.69,2.99,9428,1003,SMALL BOX,0.39
51,294,15/07/2010,MEDIUM,35,6375.28,0.06,REGULAR AIR,489.02,193.17,19.99,5838,1220,SMALL BOX,0.71
52,322,18/03/2012,CRITICAL,20,2634.8555,0.08,REGULAR AIR,257.76,155.99,8.08,5416,1680,SMALL BOX,0.6
53,322,18/03/2012,CRITICAL,46,281,0.1,REGULAR AIR,-291.59,6.48,10.05,5416,1681,SMALL BOX,0.37
61,355,13/06/2009,LOW,16,1239.6315,0,REGULAR AIR,-172.546,85.99,0.99,1704,1056,WRAP BAG,0.85
68,388,15/12/2012,NOT SPECIFIED,46,517.93,0.06,REGULAR AIR,-94.73,11.7,6.96,5781,1907,MEDIUM BOX,0.5
75,449,19/07/2011,HIGH,45,356.7,0.02,REGULAR AIR,-48.97,7.38,5.21,9337,1387,SMALL BOX,0.56
76,450,04/03/2011,NOT SPECIFIED,29,1000.78,0.05,EXPRESS AIR,109.33,34.58,8.99,5555,1556,SMALL PACK,0.56
77,450,04/03/2011,NOT SPECIFIED,35,543.72,0.05,REGULAR AIR,-211.13,15.7,11.25,5555,1102,SMALL BOX,0.6
80,483,10/07/2011,HIGH,30,4965.7595,0.08,REGULAR AIR,1198.971,195.99,3.99,1991,1004,SMALL BOX,0.58
85,515,28/08/2010,NOT SPECIFIED,19,394.27,0.08,REGULAR AIR,30.94,21.78,5.94,6590,1005,MEDIUM BOX,0.5
86,515,28/08/2010,NOT SPECIFIED,21,146.69,0.05,REGULAR AIR,4.43,6.64,4.95,6590,1006,SMALL PACK,0.37
97,613,17/06/2011,HIGH,12,93.54,0.03,REGULAR AIR,-54.0385,7.3,7.72,9874,1007,SMALL BOX,0.38
98,613,17/06/2011,HIGH,22,905.08,0.09,REGULAR AIR,127.7,42.76,6.22,9874,1008,SMALL BOX,0
101,640,22/01/2010,HIGH,39,4913.69,0.02,DELIVERY TRUCK,-1153.9,120.98,58.64,4533,1935,JUMBO BOX,0.75
102,640,22/01/2010,HIGH,24,464.77,0.01,REGULAR AIR,29.42,18.97,9.54,4533,1440,SMALL BOX,0.37
103,643,24/03/2011,HIGH,21,2781.82,0.07,EXPRESS AIR,-695.26,138.14,35,1481,1009,LARGE BOX,0
105,645,02/12/2009,HIGH,42,557.85,0.05,REGULAR AIR,89.4455,12.95,4.98,5374,1170,SMALL BOX,0.4
106,646,21/11/2009,HIGH,18,173.2,0.01,REGULAR AIR,-10.9,9.31,3.98,9810,1936,SMALL PACK,0.56
107,678,26/02/2010,LOW,44,228.41,0.07,REGULAR AIR,-226.36,4.98,8.33,8845,1010,SMALL BOX,0.38
108,706,08/09/2011,CRITICAL,42,75.14,0.05,REGULAR AIR,0.82,1.76,0.7,7417,1092,WRAP BAG,0.56
115,769,01/06/2010,MEDIUM,37,4261.94,0.02,DELIVERY TRUCK,4.15,115.99,56.14,2622,1358,JUMBO DRUM,0.4
119,773,25/09/2010,MEDIUM,38,2071.3395,0.06,REGULAR AIR,324.927,65.99,8.99,2070,1404,SMALL BOX,0.56
127,807,23/11/2010,MEDIUM,45,196.85,0.01,REGULAR AIR,-166.85,4.28,6.18,7310,1011,SMALL BOX,0.4
128,807,23/11/2010,MEDIUM,32,124.56,0.04,REGULAR AIR,-14.33,3.95,2,7310,1012,WRAP BAG,0.53
132,835,07/10/2011,NOT SPECIFIED,18,125.16,0.02,REGULAR AIR,-23.48,6.48,5.14,9810,1897,SMALL BOX,0.37
133,837,14/06/2009,NOT SPECIFIED,11,65.7,0.01,REGULAR AIR,13.41,5.84,0.83,9778,1795,WRAP BAG,0.49
134,868,08/06/2012,NOT SPECIFIED,32,716.84,0,REGULAR AIR,134.72,21.78,5.94,1535,1005,MEDIUM BOX,0.5
135,868,08/06/2012,NOT SPECIFIED,31,1474.33,0.04,REGULAR AIR,114.46,47.98,3.61,1535,1013,SMALL PACK,0.71
138,896,08/03/2010,CRITICAL,50,1246.52,0.01,REGULAR AIR,52.479,24.92,12.98,3016,1203,SMALL BOX,0.39
142,902,26/07/2009,NOT SPECIFIED,10,1925.83,0.09,REGULAR AIR,359.83,207.48,0.99,9876,1126,SMALL BOX,0.55
143,928,01/03/2011,LOW,21,1222.68,0.06,EXPRESS AIR,300.97,59.98,3.99,1911,1324,SMALL BOX,0.57
144,928,01/03/2011,LOW,26,390.2,0.02,EXPRESS AIR,45,14.58,7.4,1911,1506,SMALL BOX,0.48
149,933,04/08/2012,NOT SPECIFIED,15,80.61,0.02,REGULAR AIR,-4.715,5.28,2.99,268,1014,SMALL BOX,0.37
151,962,05/05/2009,LOW,33,4064.05,0.06,REGULAR AIR,1408.1865,122.99,19.99,5364,1682,SMALL BOX,0.37
152,962,05/05/2009,LOW,47,3213.87,0.08,DELIVERY TRUCK,-1069.72,68.81,60,5364,1460,JUMBO DRUM,0.41
159,994,19/04/2009,LOW,38,132.07,0.06,REGULAR AIR,14,3.58,1.63,4245,1822,WRAP BAG,0.36
160,995,30/05/2011,MEDIUM,46,1815.49,0.03,REGULAR AIR,782.91,39.89,3.04,7310,1015,WRAP BAG,0.53
